,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TrainingTimesLastYear,WorkLifeBalance,YearsSinceLastPromotion,EduField_Dept,Job_Coy,Edu_Age_TotalWorking,CurrMgr_Coy,CurrRole_CurrMgr
0,1,2,1102,2,1,2,1,2,0,94,3,7,4,1,5993,19479,8,1,11,3,1,0,0,1,0,2,0.2857142857142857,0.04081632653061224,0.7142857142857143,0.6666666666666666
1,0,1,279,1,8,1,1,3,0,61,2,6,2,2,5130,24907,1,0,23,4,4,1,3,3,1,1,0.18181818181818182,0.01694915254237288,0.6363636363636364,0.875
2,1,2,1373,1,2,2,5,4,0,92,2,2,3,1,2090,2396,6,1,15,3,2,0,3,3,0,0,1.0,0.045454545454545456,0.0,0.0
3,0,1,1392,1,3,4,1,4,0,56,3,6,3,2,2909,23159,1,1,11,3,3,0,3,3,3,1,0.1111111111111111,0.0975609756097561,0.0,7.0
4,0,2,591,1,2,1,3,1,0,40,3,2,2,2,3468,16632,9,0,12,3,4,1,3,3,2,1,0.3333333333333333,0.030303030303030304,0.6666666666666666,0.6666666666666666
5,0,1,1005,1,2,2,1,4,0,79,3,2,4,1,3068,11864,0,0,13,3,3,0,2,2,3,1,0.125,0.05,0.75,1.0
6,0,2,1324,1,3,3,3,3,0,81,4,2,1,2,2670,9964,4,1,20,4,1,3,3,2,0,1,0.5,0.04225352112676056,0.0,0.0
7,0,2,1358,1,24,1,1,4,0,67,3,2,3,0,2693,13335,1,0,22,4,2,1,2,3,0,1,0.5,0.03225806451612903,0.0,0.0
8,0,1,216,1,23,3,1,4,0,44,2,4,3,1,9526,8787,0,0,21,4,2,0,2,3,1,1,0.3,0.0625,0.8,0.7777777777777778
9,0,2,1299,1,27,3,3,3,0,94,3,0,3,2,5237,16577,6,0,13,3,2,2,3,2,7,1,0.25,0.05660377358490566,0.875,0.875
10,0,2,809,1,16,3,3,1,0,84,4,2,2,2,2426,16479,0,0,13,3,3,1,5,3,0,1,0.16666666666666666,0.07317073170731707,0.5,1.0
11,0,2,153,1,15,2,1,4,0,49,2,2,3,1,4193,12682,0,1,12,3,4,0,3,3,0,1,0.2,0.05128205128205128,0.8,0.5555555555555556
12,0,2,670,1,26,1,1,1,0,31,3,6,3,0,2911,15170,1,0,17,3,4,1,1,2,4,1,0.16666666666666666,0.027777777777777776,0.5,0.5
13,0,2,1346,1,19,2,3,2,0,93,3,2,4,0,2661,8758,0,0,11,3,3,1,2,3,1,1,0.3333333333333333,0.05405405405405406,0.6666666666666666,0.6666666666666666
14,1,2,103,1,24,3,1,3,0,50,2,2,3,1,2028,12947,5,1,14,3,2,0,4,3,0,1,0.2,0.08823529411764706,0.6,0.5
15,0,2,1389,1,21,4,1,2,0,51,4,4,1,0,9980,10195,1,0,11,3,3,1,1,3,8,1,0.2727272727272727,0.10256410256410256,0.7272727272727273,1.0
16,0,2,334,1,5,2,1,1,0,80,4,6,2,0,3298,15053,0,1,12,3,4,2,5,2,0,1,0.14285714285714285,0.05128205128205128,0.7142857142857143,0.3333333333333333
17,0,0,1123,1,16,2,3,4,0,96,4,2,4,0,2935,7324,1,1,13,3,2,2,2,2,0,1,0.5,0.08695652173913043,0.0,0.0
18,0,2,1219,2,2,4,1,1,0,78,2,3,4,2,15427,22021,2,0,16,3,3,0,3,3,3,2,0.15384615384615385,0.047619047619047616,0.2692307692307692,1.0
19,0,2,371,1,2,3,1,4,0,45,3,6,4,1,3944,4306,5,1,11,3,3,0,3,3,1,1,0.25,0.06818181818181818,0.5,0.6666666666666666
20,0,0,673,1,11,2,5,1,0,96,4,4,3,0,4011,8232,0,0,18,3,4,1,5,2,1,0,0.4,0.06896551724137931,0.6,0.5
21,1,2,1218,2,9,4,1,3,0,82,2,8,1,1,3407,6986,7,0,23,4,2,0,4,3,0,2,0.16666666666666666,0.08695652173913043,0.5,0.75
22,0,2,419,1,7,4,1,1,0,53,3,5,2,1,11994,21293,0,0,11,3,3,0,4,3,2,1,0.23076923076923078,0.0851063829787234,0.8461538461538461,0.5
23,0,2,391,1,15,2,1,3,0,96,3,6,4,1,1232,19281,1,0,14,3,4,0,6,3,0,1,1.0,0.09523809523809523,0.0,0.0
24,1,2,699,1,6,1,3,2,0,83,3,6,1,1,2960,17102,2,0,11,3,3,0,2,3,1,1,0.2,0.023809523809523808,0.6,0.5
25,0,2,1282,1,5,3,5,3,0,58,3,3,3,0,19094,10735,4,0,11,3,4,1,3,2,4,0,0.3333333333333333,0.0379746835443038,0.5333333333333333,1.4444444444444444
26,1,1,1125,1,16,1,1,2,0,72,1,6,1,1,3919,4681,1,1,22,4,2,0,5,3,6,1,0.09090909090909091,0.023809523809523808,0.6363636363636364,0.25
27,0,2,691,2,8,4,2,3,0,48,3,7,2,2,6825,21173,0,0,11,3,4,1,2,3,4,1,0.2,0.07692307692307693,0.2,2.3333333333333335
28,0,2,477,1,7,4,3,1,0,42,2,0,4,2,10248,2094,3,0,14,3,4,1,4,3,5,1,0.13043478260869565,0.058823529411764705,0.7391304347826086,0.3333333333333333
29,0,2,705,2,2,4,2,2,0,83,3,3,1,1,18947,22822,3,0,12,3,4,0,2,2,2,1,1.6666666666666667,0.058823529411764705,0.3333333333333333,1.0
